titulo,hora,subtitulo,tema
Shedeur Sanders’ long wait ends when Browns take him in the 5th round of the NFL draft - AP News,2025-04-27T00:26:00Z,"Shedeur Sanders’ wait finally has ended. The Cleveland Browns selected the Colorado quarterback and son of Hall of Famer Deion Sanders in the fifth round with the 144th overall pick in the NFL draft. That ended a stunning fall for Sanders, the most recognizab…",Associated Press
2025 NFL Draft grades for Round 7: Dolphins earn 'B+' for selection of Quinn Ewers - CBS Sports,2025-04-26T23:10:49Z,Josh Edwards grades the final round of the 2025 NFL Draft,CBS Sports
Chris Eubank Jr. edges Conor Benn in thrilling British blockbuster with father in corner - Yahoo Sports,2025-04-26T22:16:34Z,"Chris Eubank Jr. won an instant classic over Conor Benn on Saturday in London, with father Chris Eubank Sr. unexpectedly joining his corner.",Yahoo Entertainment
Russia claims it has regained full control of Kursk from Ukraine - BBC,2025-04-26T21:41:18Z,Ukraine denies Russian claims it has been forced out of the border region.,BBC News
Trump threatens new sanctions against Russia after Zelensky meeting - The Washington Post,2025-04-26T20:57:26Z,Zelensky used the funeral of Pope Francis to launch a diplomatic blitz to head off a U.S. proposal to end Russia’s war on Ukraine on terms favorable to Moscow.,The Washington Post
Massive explosion at Iranian port kills 14 and injures hundreds - CNN,2025-04-26T20:23:00Z,"At least 14 people have been killed and 750 injured in a huge explosion at the port of Bandar Abbas in southwestern Iran, according to official Iranian media citing the country’s interior ministry.",CNN
Harvard is about to get its clock cleaned by no-nonsense Trump & Co. - New York Post,2025-04-26T19:55:00Z,"Tariffs are consuming so many headlines that you might have missed how Harvard, the pinnacle of the Ivy League, is struggling to come to terms with a simple, undeniable reality: It’s about to get i…",New York Post
Cavs silence Miami Heat with dominant 124-87 Game 3 win - Cleveland.com,2025-04-26T19:28:00Z,"The top-seeded — and short-handed — Cavs moved one game closer to a first-round sweep by overwhelming the Miami Heat, 124-87, on Saturday afternoon.",cleveland.com
Google will stop supporting early Nest thermostats on October 25 - TechCrunch,2025-04-26T19:01:16Z,"Google announced this week that beginning on October 25, it will no longer support or release software updates for the first and second generation Nest",TechCrunch
"Virginia Giuffre, plaintiff in Epstein and Prince Andrew sex trafficking case, dies at 41 - PBS",2025-04-26T18:08:57Z,"The American-born Giuffre, who lived in Australia for years, became an advocate for sex trafficking survivors after emerging as a central figure in Epstein's prolonged downfall.",PBS
"U.S. and Iran Conclude Latest Nuclear Talks, Divided on Key Issues - WSJ",2025-04-26T17:58:00Z,,The Wall Street Journal
JoJo Siwa dumps partner Kath Ebbs after realizing she's not a lesbian anymore on 'Celebrity Big Brother UK' - Page Six,2025-04-26T17:53:00Z,Siwa shared on “Celebrity Big Brother UK” that she was battling issues with her sexual identity while on the show.,Page Six
"Measles Cases In U.S. Hit Nearly 900, With More Than 600 Cases In Texas - HuffPost",2025-04-26T17:00:59Z,"Of those infected across the U.S., 97% of cases came from those who are unvaccinated or whose vaccination status is unknown.",HuffPost
ICE deports the mother of a breastfeeding infant and a 2-year-old who is a US citizen - AP News,2025-04-26T16:54:00Z,"Immigration and Customs Enforcement agents have in recent days deported a Cuban-born mother of a 1-year-old girl, separating them indefinitely. In two other cases, three children ages 2, 4 and 7 who are U.S. citizens along with their Honduran-born mothers wer…",Associated Press
The Vatican asked Pope Francis funeral attendees to wear all black. Trump wore a blue suit - Fortune,2025-04-26T15:44:00Z,,Fortune
"Box Office: 'Sinners' Winning, 'Accountant 2' at $9.4 Mil. Opening Day - Variety",2025-04-26T15:17:00Z,"Ryan Coogler and Michael B. Jordan's 'Sinners' is on top at the box office again, with 'The Accountant 2' and 'Star Wars: Revenge of the Sith' following.",Variety
NASA's Dragonfly nuclear-powered helicopter clears key hurdle ahead of 2028 launch toward huge Saturn moon Titan - Space,2025-04-26T15:00:00Z,"""Passing this mission milestone means that Dragonfly's mission design, fabrication, integration and test plans are all approved, and the mission can now turn its attention to the construction of the spacecraft itself.""",Space.com
Genetic medicine can leave people with rare mutations behind. But there’s new hope - AP News,2025-04-26T14:59:00Z,"People with diseases caused by rare mutations have fewer options and poorer prospects than other patients despite rapid recent advancements in the growing field of genetic science. In cystic fibrosis, for example, medications can vastly improve health for 90%…",Associated Press
Gigi Hadid Sparks Engagement Rumors with Bradley Cooper During Birthday Outing - instyle.com,2025-04-26T14:12:49Z,Gigi Hadid and Bradley Cooper stepped out in New York City to celebrate the model's birthday with friends—and eagle eyed fans spotted a ring on her left hand sparking engagement rumors.,InStyle
‘You’ brought Joe Goldberg’s story to a fitting conclusion. The showrunners explain why he got what he deserved - CNN,2025-04-26T13:30:00Z,Showrunners Michael Foley and Justin Lo speak to CNN about the end of Netflix’s soapy psychological thriller series “You” and Joe Goldberg’s fate.,CNN
MAGA maximalism: Trump's base loves Wisconsin judge arrest - Axios,2025-04-26T13:05:23Z,The arrest shocked the establishment. But it's exactly the kind of escalation the MAGA base has been agitating for.,Axios
